fastq_aspera	run_accession
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478988/ERR478988_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478988/ERR478988_2.fastq.gz	ERR478988
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478995/ERR478995_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478995/ERR478995_2.fastq.gz	ERR478995
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478999/ERR478999_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478999/ERR478999_2.fastq.gz	ERR478999
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479007/ERR479007_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479007/ERR479007_2.fastq.gz	ERR479007
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479008/ERR479008_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479008/ERR479008_2.fastq.gz	ERR479008
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479025/ERR479025_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479025/ERR479025_2.fastq.gz	ERR479025
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479039/ERR479039_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479039/ERR479039_2.fastq.gz	ERR479039
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479064/ERR479064_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479064/ERR479064_2.fastq.gz	ERR479064
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479073/ERR479073_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479073/ERR479073_2.fastq.gz	ERR479073
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479077/ERR479077_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479077/ERR479077_2.fastq.gz	ERR479077
